round,price_basis,measure,weighted_median
5,Nominal,Overall median household wealth,254601.310613367
5,Nominal,Overall median household wealth excl private pension,154150.0
5,Real terms (March 2022 prices),Overall median household wealth,295428.81161810015
5,Real terms (March 2022 prices),Overall median household wealth excl private pension,178869.27290836652
6,Nominal,Overall median household wealth,286550.0
6,Nominal,Overall median household wealth excl private pension,170900.0
6,Real terms (March 2022 prices),Overall median household wealth,317631.5413891532
6,Real terms (March 2022 prices),Overall median household wealth excl private pension,189437.2026641294
7,Nominal,Overall median household wealth,302558.813079613
7,Nominal,Overall median household wealth excl private pension,182597.99999999997
7,Real terms (March 2022 prices),Overall median household wealth,324568.1558358648
7,Real terms (March 2022 prices),Overall median household wealth excl private pension,195880.9116022099
8,Nominal,Overall median household wealth,293700.0
8,Nominal,Overall median household wealth excl private pension,181749.0
8,March 2022 prices,Overall median household wealth,293700.0
8,March 2022 prices,Overall median household wealth excl private pension,181749.0
