round,price_basis,group,measure,quantile_type,quantile_number,weighted_mean_wealth,
5,Nominal,Owner,Total wealth,decile,1,152664.5166,
5,Nominal,Owner,Total wealth,decile,2,269863.8071,
5,Nominal,Owner,Total wealth,decile,3,376648.7632,
5,Nominal,Owner,Total wealth,decile,4,480196.6985,
5,Nominal,Owner,Total wealth,decile,5,597755.3772,
5,Nominal,Owner,Total wealth,decile,6,726283.8671,
5,Nominal,Owner,Total wealth,decile,7,913627.2618,
5,Nominal,Owner,Total wealth,decile,8,1135105.48,
5,Nominal,Owner,Total wealth,decile,9,1518992.65,
5,Nominal,Owner,Total wealth,decile,10,3427314.514,
5,Nominal,Owner,Total wealth,quintile,1,211541.1294,
5,Nominal,Owner,Total wealth,quintile,2,428678.3979,
5,Nominal,Owner,Total wealth,quintile,3,662359.4722,
5,Nominal,Owner,Total wealth,quintile,4,1024427.321,
5,Nominal,Owner,Total wealth,quintile,5,2480779.756,
5,Nominal,Owner,Total wealth excl private pension,decile,1,116215.6247,
5,Nominal,Owner,Total wealth excl private pension,decile,2,179505.9909,
5,Nominal,Owner,Total wealth excl private pension,decile,3,227159.1618,
5,Nominal,Owner,Total wealth excl private pension,decile,4,281533.6837,
5,Nominal,Owner,Total wealth excl private pension,decile,5,333040.1396,
5,Nominal,Owner,Total wealth excl private pension,decile,6,401725.1686,
5,Nominal,Owner,Total wealth excl private pension,decile,7,483321.2098,
5,Nominal,Owner,Total wealth excl private pension,decile,8,597274.4459,
5,Nominal,Owner,Total wealth excl private pension,decile,9,824058.0106,
5,Nominal,Owner,Total wealth excl private pension,decile,10,2342802.468,
5,Nominal,Owner,Total wealth excl private pension,quintile,1,147899.0435,
5,Nominal,Owner,Total wealth excl private pension,quintile,2,254425.7004,
5,Nominal,Owner,Total wealth excl private pension,quintile,3,367484.0557,
5,Nominal,Owner,Total wealth excl private pension,quintile,4,540673.3332,
5,Nominal,Owner,Total wealth excl private pension,quintile,5,1585052.271,
5,Nominal,Owner,Property wealth,decile,1,73707.52798,
5,Nominal,Owner,Property wealth,decile,2,115429.4976,
5,Nominal,Owner,Property wealth,decile,3,148435.0533,
5,Nominal,Owner,Property wealth,decile,4,175899.9818,
5,Nominal,Owner,Property wealth,decile,5,209589.6846,
5,Nominal,Owner,Property wealth,decile,6,249067.8837,
5,Nominal,Owner,Property wealth,decile,7,303760.4286,
5,Nominal,Owner,Property wealth,decile,8,381507.3958,
5,Nominal,Owner,Property wealth,decile,9,512602.8827,
5,Nominal,Owner,Property wealth,decile,10,1235121.546,
5,Nominal,Owner,Property wealth,quintile,1,94561.45876,
5,Nominal,Owner,Property wealth,quintile,2,162169.8645,
5,Nominal,Owner,Property wealth,quintile,3,229319.2449,
5,Nominal,Owner,Property wealth,quintile,4,342624.3554,
5,Nominal,Owner,Property wealth,quintile,5,873899.6513,
5,Nominal,Owner,Financial wealth,decile,1,760.445719,
5,Nominal,Owner,Financial wealth,decile,2,4467.671019,
5,Nominal,Owner,Financial wealth,decile,3,11656.94716,
5,Nominal,Owner,Financial wealth,decile,4,22432.46985,
5,Nominal,Owner,Financial wealth,decile,5,37328.99767,
5,Nominal,Owner,Financial wealth,decile,6,59456.59891,
5,Nominal,Owner,Financial wealth,decile,7,91688.08591,
5,Nominal,Owner,Financial wealth,decile,8,134434.8771,
5,Nominal,Owner,Financial wealth,decile,9,216946.0318,
5,Nominal,Owner,Financial wealth,decile,10,1131104.388,
5,Nominal,Owner,Financial wealth,quintile,1,2614.131105,
