group,owner_88,renter_88,gap_88,owner_88_disc,renter_88_disc,gap_88_disc,owner_88_med,renter_88_med,gap_88_med,n_owners,n_renters
"D1 (£0–£21,527)",843753.3546419824,74907.66713097318,768845.6875110092,133636.80457591306,11300.657918466772,122336.14665744628,720097.898490025,16530.914533650663,703566.9839563743,39,88
"D2 (£21,527–£28,583)",793164.929861897,51923.81826497943,741241.1115969176,124960.20992248988,8134.757224018977,116825.45269847091,644956.8904327598,16797.542187419218,628159.3482453405,56,70
"D3 (£28,583–£33,964)",2214587.419236205,92554.93583419632,2122032.4834020087,371189.69494509144,15555.253911616277,355634.44103347516,1095633.7277752566,23463.233531633196,1072170.4942436235,71,55
"D4 (£33,964–£40,064)",1572044.566830312,249029.2702484969,1323015.296581815,256844.61595317457,42018.2468121567,214826.36914101787,1253056.0512421327,28376.325422768296,1224679.7258193644,74,52
"D5 (£40,064–£45,804)",1867632.223975478,230332.3250187674,1637299.8989567105,297008.91198546207,38743.08511593695,258265.82686952513,1538935.5792991596,29862.297222078607,1509073.282077081,81,45
"D6 (£45,804–£51,784)",2171465.430657073,105706.17989526404,2065759.2507618088,344632.91799828236,15849.537229832242,328783.3807684501,2086279.0257339322,29447.13015570295,2056831.895578229,97,29
"D7 (£51,784–£58,361)",2862098.2787049073,458554.2257065067,2403544.0529984008,452993.4418368504,72359.12332159077,380634.31851525966,2546558.7634265916,70673.11237368711,2475885.6510529043,100,26
"D8 (£58,361–£68,168)",3552490.562692193,245936.2385629569,3306554.324129236,579352.66032531,39646.04308830693,539706.617237003,3260716.212702538,45859.95644819215,3214856.2562543456,106,20
"D9 (£68,168–£84,791)",4446789.441201806,628103.558023275,3818685.883178531,703873.317882348,98919.3116856561,604954.0061966919,3960805.239776873,476830.82649391086,3483974.413282962,107,19
"D10 (£84,791–£440,101)",6944589.629954536,6089013.812106008,855575.8178485287,1124234.1188642678,918343.6305988801,205890.4882653877,5805420.998414422,903852.895338672,4901568.10307575,110,16
