group,owner_88,renter_88,gap_88,owner_88_disc,renter_88_disc,gap_88_disc,owner_88_med,renter_88_med,gap_88_med,n_owners,n_renters
East Midlands,2225551.9955675174,214449.10228467386,2011102.8932828435,368309.42059276684,32850.17844719816,335459.24214556866,1871630.4792400878,25110.370987317605,1846520.1082527703,80,39
East of England,2859889.019573382,132688.39025159058,2727200.6293217917,458860.4028141525,21061.515173607262,437798.8876405452,2619605.221931422,29862.297222078607,2589742.9247093434,82,40
London,3379713.7611141712,189393.39022071334,3190320.370893458,540763.5366534721,31392.49523709552,509371.0414163766,2258223.487156698,34533.45263714256,2223690.0345195555,88,32
North East,3586070.7953728563,42559.31805354888,3543511.4773193076,577643.104602848,7118.200716005483,570524.9038868424,2820517.676679292,13864.637995965073,2806653.0386833274,41,23
North West,2303681.722101252,638732.0709167288,1664949.6511845232,365900.8528576013,107686.87835698346,258213.97450061783,2086279.0257339322,17064.169841187784,2069214.8558927444,105,39
Northern Ireland,2523042.1599762193,339140.1102507261,2183902.0497254934,400449.8105760294,51948.76786881324,348501.04270721617,2427222.7683428554,55681.84611260196,2371540.9222302535,61,35
Scotland,2903884.5239797467,495810.1005680103,2408074.4234117363,473138.79544864275,83877.57272073034,389261.2227279124,2380980.369005266,22066.79393186026,2358913.5750734056,46,21
South East,3990369.2217343114,1360967.7690053587,2629401.4527289527,630234.8928415499,200339.08869165776,429895.8041498922,3457349.073762915,17064.169841187784,3440284.903921727,85,55
South West,4395997.283724527,388873.64436397696,4007123.63936055,721787.0842560829,61895.208521735854,659891.875734347,3247168.813537355,27091.359743246707,3220077.4537941082,102,58
Wales,2884603.8801600924,65757.03100772997,2818846.8491523624,458973.4328894009,10378.792584093579,448594.64030530734,2453190.1122612446,40690.5798515168,2412499.5324097276,83,46
West Midlands,2628757.170854368,47942.645236571116,2580814.5256177965,428291.39642125805,7742.914160466794,420548.48226079124,1764088.637518755,22486.89939162771,1741601.7381271273,68,32
