income_decile_lbl,tenure_binary,n,share_in_deficit,mean_first_deficit_age
"D1 (£0–£21,527)",owner,39.0,0.358974358974359,73.21428571428571
"D1 (£0–£21,527)",renter,88.0,0.5454545454545454,70.5
"D2 (£21,527–£28,583)",owner,56.0,0.32142857142857145,74.44444444444444
"D2 (£21,527–£28,583)",renter,70.0,0.8428571428571429,70.88135593220339
"D3 (£28,583–£33,964)",owner,71.0,0.19718309859154928,77.14285714285714
"D3 (£28,583–£33,964)",renter,55.0,0.8727272727272727,71.6875
"D4 (£33,964–£40,064)",owner,74.0,0.04054054054054054,81.0
"D4 (£33,964–£40,064)",renter,52.0,0.75,71.46153846153847
"D5 (£40,064–£45,804)",owner,81.0,0.012345679012345678,85.0
"D5 (£40,064–£45,804)",renter,45.0,0.7777777777777778,77.11428571428571
"D6 (£45,804–£51,784)",owner,97.0,0.010309278350515464,80.0
"D6 (£45,804–£51,784)",renter,29.0,0.9310344827586207,74.62962962962963
"D7 (£51,784–£58,361)",owner,100.0,0.01,79.0
"D7 (£51,784–£58,361)",renter,26.0,0.5384615384615384,78.42857142857143
"D8 (£58,361–£68,168)",owner,106.0,0.009433962264150943,76.0
"D8 (£58,361–£68,168)",renter,20.0,0.55,81.63636363636364
"D9 (£68,168–£84,791)",owner,107.0,0.0,
"D9 (£68,168–£84,791)",renter,19.0,0.3157894736842105,84.16666666666667
"D10 (£84,791–£440,101)",owner,110.0,0.00909090909090909,88.0
"D10 (£84,791–£440,101)",renter,16.0,0.4375,79.14285714285714
