scenario,gap_67,gap_88,gap_88_disc,delta
Central (IFS-calibrated),1588857.5439928132,2624919.7020712327,424755.0366183851,0.0
Low adaptation cost (£15k),1588857.5439928132,2642342.37925055,427553.14245625085,17422.677179317456
High adaptation cost (£40k),1588857.5439928132,2606115.4558805022,421734.90833173296,-18804.246190730482
Earlier adaptation (age 70),1588857.5439928132,2617609.3889871864,423581.1219797306,-7310.313084046356
Later adaptation (age 80),1588857.5439928132,2631068.2588260435,425742.31057466613,6148.556754810736
No adaptation cost,1588857.5439928132,2663957.1421311195,431024.12903750455,39037.44005988678
Lifespan short (age 85),1588857.5439928132,2450112.2604140793,439587.41411452333,-174807.44165715342
Lifespan long (age 91),1588857.5439928132,2816623.2066236744,411069.4083934611,191703.50455244165
State Pension flat (CPI-only),1588857.5439928132,2599535.1195215513,420661.8439073525,-25384.58254968142
State Pension +1.0% real,1588857.5439928132,2651328.364821565,429011.87156505266,26408.66275033215
Legacy flat 1.2% consumption,1588857.5439928132,2566822.728070935,415408.42041324923,-58096.97400029795
No income split,1588857.5439928132,2610117.1501181917,422389.13394105097,-14802.551953040995
Steeper 80+ decline,1588857.5439928132,2631553.6144930692,425822.8947100969,6633.912421836518
Pooled liquid drawdown,1588857.5439928132,2630593.7729916894,425681.0934243528,5674.0709204566665
v4: Low HPI (real 0%),1347793.1393008786,2144364.8874335433,347855.00530048093,-480554.8146376894
v4: High HPI (real +3%),1913078.5387964882,3500408.4903379185,564422.3643506358,875488.7882666858
v4: Rent escalation +1%,1644810.4690663007,2681703.723121483,433472.69157291175,56784.02105025016
v4: DC underperformance,1520647.4445679393,2392891.2705680495,386612.8494055349,-232028.4315031832
v4: No parental transfers,1588857.5439928132,2624919.7020712327,424755.0366183851,0.0
