age,tenure,W_prop,W_fin,W_pen,W_phys,W_total
67,owner,594950.4488071391,968328.9321773275,453458.3369355223,56250.475838064944,2072988.1937580537
68,owner,604611.9653337633,982127.8952976728,467033.19117249455,56205.28840889411,2109978.3402128248
69,owner,614430.3771140699,996262.8713890072,480988.63202581496,56160.13727992739,2147842.017808819
70,owner,624408.2320007242,1010834.1594399826,495221.84728306567,56115.02242200393,2186579.2611457766
71,owner,634548.1192214676,1025848.2076518979,509749.8998992685,56069.94380598628,2226216.1705786204
72,owner,644852.6700510171,1041261.0803750519,524643.450062865,56024.9014027604,2266782.101891694
73,owner,655324.5584938733,1057138.5064684888,539887.2269403033,55979.89518323563,2308330.187085901
74,owner,665966.5019782181,1073441.7646174275,555556.4327204596,55934.9251183447,2350899.62443445
75,owner,676781.2620610805,1065725.6108214932,570207.6051997509,55889.991179043674,2368604.4692613687
76,owner,687771.6451449536,1082315.2574746537,586597.4494068356,55845.093336311955,2412529.445362755
77,owner,698940.5032060482,1099275.5314417728,603546.2011465379,55800.231561152235,2457562.467355511
78,owner,710290.7345343736,1116620.2844099537,621017.9312831914,55755.40582459058,2503684.356052109
79,owner,721825.2844858376,1134376.3899781355,638989.8590142913,55710.61609767621,2550902.1495759403
80,owner,733547.1462465567,1152521.253621964,657559.2359415279,55665.86235148171,2599293.49816153
81,owner,745459.3616095816,1171676.3712590938,676690.6736413946,55621.14455710281,2649447.5510671725
82,owner,757565.0217642348,1191898.3445372356,696346.8963790246,55576.46268565854,2701386.7253661538
83,owner,769867.2680982655,1213172.4912133976,716591.7995713827,55531.8167082911,2755163.3755913367
84,owner,782369.2930130317,1235538.62110435,737428.1156246574,55487.20659616586,2810823.236338205
85,owner,795074.3407519214,1259021.0985502966,758889.4775389035,55442.63232047137,2868427.549161593
86,owner,807985.7082422242,1283908.9204175181,780755.2898172447,55398.09385241933,2928048.0123294066
87,owner,821106.7459506752,1310082.111040997,803192.7211812949,55353.591163244535,2989735.169336212
88,owner,834440.8587528937,1337609.9912914282,826204.5522485529,55309.12422420492,3053564.52651708
67,renter,0.0,285640.50604992657,171801.8773669824,26688.266348331657,484130.6497652406
68,renter,0.0,271319.110877334,175655.3235825648,26666.82698933353,473641.2614492324
69,renter,0.0,259078.99115935576,178399.92974334155,26645.40485311445,464124.32575581176
70,renter,0.0,248624.5044439537,180262.1861149482,26623.999925838903,455510.6904847408
71,renter,0.0,239381.21540868984,181841.4941345913,26602.61219368252,447825.32173696364
72,renter,0.0,231524.29212824898,182515.51761338438,26581.24164283204,440621.0513844654
73,renter,0.0,225101.4934454253,182596.22273391398,26559.888259485273,434257.6044388245
74,renter,0.0,219632.7573352352,183491.02953997854,26538.552029851126,429662.33890506485
75,renter,0.0,215219.27998992702,184259.42441648932,26517.232940149595,425995.93734656594
76,renter,0.0,211996.36467700053,184603.12190852847,26495.930976611737,423095.41756214073
77,renter,0.0,209512.1764371949,184518.2008140205,26474.646125479674,420505.02337669506
78,renter,0.0,207351.65206341722,184456.13142609716,26453.378373006573,418261.16186252097
79,renter,0.0,205725.21650706424,184354.26824297628,26432.12770545665,416511.61245549715
80,renter,0.0,204462.78386419825,184583.99516192407,26410.894109105153,415457.67313522747
81,renter,0.0,203911.86317044645,184472.76269919123,26389.67757023836,414774.30343987606
82,renter,0.0,204086.1951037834,183964.22914228108,26368.47807515357,414418.90232121805
83,renter,0.0,205051.49088725357,183436.58229763713,26347.295610159068,414835.3687950497
84,renter,0.0,206341.49148409162,183368.06668301817,26326.13016157416,416035.68832868396
85,renter,0.0,208303.0469357504,183707.26009603395,26304.981715729125,418315.28874751343
86,renter,0.0,210778.03458062527,184187.20223750483,26283.85025896525,421249.0870770954
87,renter,0.0,213421.77488732044,185088.17698508722,26262.735777634764,424772.68765004247
88,renter,0.0,216226.20671544026,186176.97947230615,26241.63825810087,428644.8244458473
