Income_Decile,Lower_boundary_group,Average_consumption_total,Average_net_rent,Average_Maintenance_repair_dwelling,Average_net_consumption_renters,Average_net_consumption_owners,,,,,,,
1st decile,,274.1,34.5,3.7,235.90,239.60,,,,,,,
2nd decile,279,285.4,39.3,5.4,240.70,246.10,,,,,,,
3rd decile,392,376.6,47.4,12.4,316.80,329.20,,,,,,,
4th decile,500,426.3,56.6,5.9,363.80,369.70,,,,,,,
5th decile,613,505,60.7,7.9,436.40,444.30,,,,,,,
6th decile,742,529.3,61.1,11,457.20,468.20,,,,,,,
7th decile,888,596,52.1,11.3,532.50,543.80,,,,,,,
8th decile,"1,053",646,48.5,9,588.30,597.30,,,,,,,
9th decile,"1,267",741,60,16.9,664.20,681.10,,,,,,,
10th decile,"1,660",992.4,46.4,27,919.00,946.00,,,,,,,
All households,,537,50.7,11,475.30,486.30,,,,,,,
