Income_Decile,Lower_boundary_group,Average_consumption_total,Average_net_rent,Average_Maintenance_repair_dwelling,Average_net_consumption_renters,Average_net_consumption_owners,,,,,,,
1st decile,0,274.1,34.5,3.7,235.9,239.6,,,,,,,
2nd decile,279,285.4,39.3,5.4,240.7,246.1,,,,,,,
3rd decile,392,376.6,47.4,12.4,316.8,329.2,,,,,,,
4th decile,500,426.3,56.6,5.9,363.8,369.7,,,,,,,
5th decile,613,505,60.7,7.9,436.4,444.3,,,,,,,
6th decile,742,529.3,61.1,11,457.2,468.2,,,,,,,
7th decile,888,596,52.1,11.3,532.5,543.8,,,,,,,
8th decile,"1,053",646,48.5,9,588.3,597.3,,,,,,,
9th decile,"1,267",741,60,16.9,664.2,681.1,,,,,,,
10th decile,"1,660",992.4,46.4,27,919,946,,,,,,,
All households,,537,50.7,11,475.3,486.3,,,,,,,
